liquidity_rank,code,name,industry,market,ticker,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,in_yahoo_pool,universe_source,universe_label
36,7013,ＩＨＩ,機械,プライム,7013.T,2026-07-06,3071.0,0.07022129290817225,0.1480373831775701,0.22594810379241514,-0.08081412750673456,-0.012884792419873947,2713.7,2834.3416666666667,0.13166525408114382,0.08349675556640146,-0.31560015926580165,0.589493319578995,22035100.0,14748090.0,1.4940985578471517,41361284182.5,258,True,jpx_liquidity,JPX流動性
37,8058,三菱商事,卸売業,プライム,8058.T,2026-07-06,4507.0,0.011218308279111522,0.021069324875396367,-0.06745292778812328,-0.16921658986175114,0.20701202692048826,4536.9,4966.666666666667,-0.006590403138706957,-0.09255033557046988,-0.23376402584155054,0.24187049450839854,6155200.0,9176655.0,0.6707454949543161,40936150915.0,258,True,jpx_liquidity,JPX流動性
38,7012,川崎重工業,輸送用機器,プライム,7012.T,2026-07-06,3003.0,0.0648936170212766,0.032490974729241895,0.09041394335511987,-0.046666666666666634,0.30038427041270066,2953.525,3067.1583333333333,0.01675117021186545,-0.020917841976422213,-0.1776617513161617,0.6115714614858252,16351100.0,13717675.0,1.1919731295573046,40624059210.0,258,True,jpx_liquidity,JPX流動性
39,8136,サンリオ,卸売業,プライム,8136.T,2026-07-06,1155.0,0.06206896551724128,0.025299600532623145,0.2876254180602007,0.168200653119994,0.16710868133418133,973.7350006103516,940.8816680908203,0.18615434309748435,0.2275720095000422,-0.020823905169636614,0.5342543236246167,34346200.0,36760300.0,0.9343286099406153,37367772719.91669,258,True,jpx_liquidity,JPX流動性
40,3110,日東紡績,ガラス・土石製品,プライム,3110.T,2026-07-06,3515.0,-0.030344827586206935,-0.23253275109170302,-0.811830835117773,-0.8377192982456141,-0.6696592599363742,7565.4,19549.133333333335,-0.5353847780685753,-0.8201966327578034,-0.8899843505477308,2.8337394339460915,5009700.0,7119180.0,0.7036905935795976,36407651825.0,258,True,jpx_liquidity,JPX流動性
41,9432,ＮＴＴ,情報・通信業,プライム,9432.T,2026-07-06,147.0,0.00616012223741258,0.006849315068493178,-0.0020366805535801946,-0.05405401690092604,-0.06098284877481641,146.025,149.53000030517578,0.00667693888032872,-0.016919683675598818,-0.06844108265457671,0.18127430804050934,177637000.0,251086485.0,0.7074733632118829,35493764807.239914,258,True,jpx_liquidity,JPX流動性
42,6503,三菱電機,電気機器,プライム,6503.T,2026-07-06,6043.0,0.01665545087483178,0.03122866894197962,0.06616090331686664,0.12198291867805411,0.26607783167083054,5893.25,6043.5,0.025410427183642392,-8.273351534704432e-05,-0.07881097560975614,0.36069968587213574,4086700.0,6084420.0,0.6716663215228403,34723101030.0,258,True,jpx_liquidity,JPX流動性
43,6506,安川電機,電気機器,プライム,6506.T,2026-07-06,7449.0,-0.004011231448054597,0.07925239061141709,0.1593774319066148,0.7171507607192253,0.5010356328340919,6933.85,6409.55,0.07429494436712636,0.16217207136226408,-0.026910516002612628,0.6638752030612571,6123700.0,4867615.0,1.258049373255691,34014113775.0,258,True,jpx_liquidity,JPX流動性
44,2802,味の素,食料品,プライム,2802.T,2026-07-06,6091.0,-0.012323658180638852,0.04728335625859703,0.2673741156887224,0.3247063940843846,0.8344643985949718,5588.5,5203.283333333334,0.08991679341504866,0.17060702056714172,-0.013603238866396805,0.6150863403786485,3818600.0,5842180.0,0.6536258725338829,32266254055.0,258,True,jpx_liquidity,JPX流動性
45,8031,三井物産,卸売業,プライム,8031.T,2026-07-06,4667.0,0.014565217391304452,0.03412364280966096,-0.053730738037307435,-0.26826591407964884,-0.017477522188955263,4672.35,5354.033333333334,-0.0011450340834912032,-0.12832070526269923,-0.29265460259214493,0.22270116954886182,4670200.0,6876865.0,0.6791175921004702,31861685570.0,258,True,jpx_liquidity,JPX流動性
