rank,code,ticker,name,market,industry,liquidity_rank,in_yahoo_pool,universe_source,universe_label,best_yahoo_rank,ranking_hits,ranking_sources,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base
31,6997,6997.T,日本ケミコン,プライム,電気機器,182,True,jpx_liquidity,JPX流動性,22.0,1.0,値上がり率,2026-06-15,4790.0,0.14730538922155678,0.05622932745314224,0.627038043478261,2.1661055470718367,2.3587869373279826,4271.7,2824.740694173177,0.12133342697286809,0.6957308718215176,-0.14768683274021355,1.4603642901940828,1541200.0,1791425.0,0.8603206944192473,8095688850.0,243,19.816666666666666,17.835,9.908333333333333,9.533333333333335,9.908333333333333,6.983333333333335,3.933333333333333,2.7416666666666663,0.07583333333333334,80.74,47.56,19.44,10.92,v4,True,True,True,True,True,True,True,False,False,True,False,False
32,8795,8795.T,Ｔ＆Ｄホールディングス,プライム,保険業,138,False,jpx_liquidity,JPX流動性,,,,2026-06-15,4802.0,0.01910016977928697,0.0926052332195677,0.2001999500124969,0.3320666200182423,0.39682253813034496,4313.2,4041.1720458984373,0.1133265325048689,0.18826913218747032,0.0,0.3557844501145131,2172900.0,2502995.0,0.8681199922492854,10877379305.0,243,18.5,14.79,7.25,9.516666666666667,8.616666666666667,7.716666666666665,4.04,6.661666666666667,3.6516666666666664,80.74,40.54,18.13,11.76,v4,True,True,True,True,True,True,True,False,True,True,True,True
33,5471,5471.T,大同特殊鋼,プライム,鉄鋼,356,True,jpx_liquidity,JPX流動性,135.0,1.0,値上がり率,2026-06-15,2460.0,0.07189542483660127,0.1524947294448349,0.34059945504087197,0.25940216718473286,0.5756450057490738,2070.4,1949.4799926757812,0.1881761978361669,0.26187496626908113,0.0,0.49303718399444124,1877600.0,1288890.0,1.4567573648643406,2738647872.5,243,19.4,13.05,8.366666666666667,9.908333333333333,9.233333333333333,4.083333333333334,7.493333333333334,6.661666666666667,2.2516666666666665,80.45,40.82,19.14,11.58,v4,True,True,True,True,True,True,True,True,True,False,True,False
34,6963,6963.T,ローム,プライム,電気機器,46,True,jpx_liquidity,JPX流動性,135.0,1.0,出来高,2026-06-15,5257.0,0.06589618815896192,0.09179646936656272,0.26827503015681553,0.6054293610386263,1.4768195923520517,4977.15,4053.4111857096354,0.05622695719437831,0.29693232666195724,-0.06392450142450146,0.8710551150628546,4563800.0,5916690.0,0.7713434369554599,29444703585.0,243,19.06666666666667,16.86,9.65,7.966666666666665,9.5,9.25,2.773333333333334,4.888333333333334,0.49000000000000005,80.45,45.58,17.47,12.02,v4,True,True,True,True,True,True,True,False,False,True,False,False
35,8750,8750.T,第一ライフグループ,プライム,保険業,97,True,jpx_liquidity,JPX流動性,56.0,1.0,出来高,2026-06-15,1776.0,0.01283147989734812,0.06506746626686666,0.09969040247678018,0.278975932576508,0.42348153895375185,1673.8,1527.7088338216147,0.061058668897120416,0.16252518849241482,0.0,0.17696885605963125,9102900.0,9504510.0,0.9577453230098132,15640049622.5,243,15.766666666666666,13.56,7.433333333333333,8.183333333333335,8.233333333333334,8.4,5.026666666666666,6.661666666666667,6.836666666666668,80.1,36.76,16.42,13.43,v4,True,True,True,True,True,True,True,False,True,True,True,True
36,4042,4042.T,東ソー,プライム,化学,267,False,jpx_liquidity,JPX流動性,,,,2026-06-15,3037.0,0.061331469508998815,0.11347387717690194,0.1771317829457364,0.30633532441128786,0.3196737233208642,2734.475,2527.599328613281,0.11063366825441823,0.20153537216920836,0.0,0.4016008965604859,2169600.0,1631130.0,1.330120836475327,4590878167.5,243,18.0,14.429999999999998,6.616666666666665,9.483333333333334,8.733333333333333,5.566666666666666,7.24,6.661666666666667,3.115,79.85,39.05,18.22,12.81,v4,True,True,True,True,True,True,True,True,True,True,True,True
37,6723,6723.T,ルネサスエレクトロニクス,プライム,電気機器,19,True,jpx_liquidity,JPX流動性,39.0,1.0,出来高,2026-06-15,4488.0,0.030539609644087307,0.08431988402995882,0.21297297297297302,0.8136997373206709,1.0733575134933457,4302.65,3331.758333333333,0.043078103029528414,0.347036474734312,-0.0723439437784208,0.7869810260694676,13043300.0,18092685.0,0.7209156628770136,78184532305.0,243,18.63333333333333,17.430000000000003,9.366666666666667,7.4,9.65,9.7,2.1066666666666665,4.655,0.6883333333333332,79.63,45.43,17.05,11.81,v4,True,True,True,True,True,True,True,False,False,True,True,True
38,8411,8411.T,みずほフィナンシャルグループ,プライム,銀行業,16,True,jpx_liquidity,JPX流動性,44.0,1.0,出来高,2026-06-15,7793.0,0.03041121248181944,0.030547474213171055,0.19432950191570875,0.29328770974007856,0.37783408803115903,7395.35,6857.456087239583,0.05377027456442218,0.13642725536387834,0.0,0.37104394167982235,11061200.0,12523985.0,0.8832013133200016,88548109120.0,243,18.43333333333333,14.1,7.133333333333335,7.85,7.833333333333332,9.75,4.293333333333333,6.661666666666667,3.4066666666666667,79.46,39.67,15.68,14.04,v4,True,True,True,True,True,True,True,False,True,True,True,True
39,8309,8309.T,三井住友トラストグループ,プライム,銀行業,79,False,jpx_liquidity,JPX流動性,,,,2026-06-15,6061.0,0.01677570877369572,0.04752851711026618,0.10926061493411421,0.2592751228264494,0.32195632779637773,5724.4,5396.434008789062,0.05880092236740975,0.12314909996649126,0.0,0.25734853643934397,3670400.0,3294740.0,1.1140181015800943,18739806135.0,243,16.4,13.020000000000003,6.633333333333333,8.083333333333332,7.6,8.7,6.12,6.661666666666667,5.471666666666667,78.69,36.05,15.68,14.82,v4,True,True,True,True,True,True,True,False,True,True,True,True
40,8331,8331.T,千葉銀行,プライム,銀行業,220,False,jpx_liquidity,JPX流動性,,,,2026-06-15,2521.0,0.037235136803126956,0.06754181664196479,0.10813186813186815,0.28088105029602506,0.49479832413766944,2364.475,2212.3421427408853,0.06619862760232187,0.13951633036141353,0.0,0.2807581145784342,3105200.0,2681855.0,1.1578552904612665,6276473457.5,243,16.3,13.65,7.916666666666665,8.433333333333335,7.866666666666665,6.35,6.573333333333334,6.661666666666667,4.876666666666667,78.63,37.87,16.3,12.92,v4,True,True,True,True,True,True,True,False,True,True,True,True
