code,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources
9082,大和自動車交通(株),133,1,出来高増加率
2565,GX ロジスティクス・J-REIT,134,1,出来高増加率
4571,ＮＡＮＯ　ホールディングス(株),134,1,値上がり率
543A,ＡＲＣＨＩＯＮ(株),134,1,出来高
4901,富士フイルムホールディングス(株),135,1,出来高
520A,ジェイファーマ(株),135,1,値上がり率
9380,東海運(株),135,1,出来高増加率
2801,キッコーマン(株),136,1,出来高
2914,ＪＴ,137,1,出来高
4169,ＥＮＥＣＨＡＮＧＥ(株),137,1,値上がり率
6633,(株)ＣＧＳホールディングス,137,1,出来高増加率
5034,(株)ｕｎｅｒｒｙ,138,1,値上がり率
7425,初穂商事(株),138,1,出来高増加率
8002,丸紅(株),138,1,出来高
1480,(NEXT FUNDS)野村企業価値分配指数上場投信,139,1,出来高増加率
6273,ＳＭＣ(株),139,1,値上がり率
2162,ｎｍｓホールディングス(株),140,1,出来高増加率
4751,(株)サイバーエージェント,140,1,出来高
6324,(株)ハーモニック・ドライブ・システムズ,140,1,値上がり率
1380,(株)秋川牧園,141,1,出来高増加率
4584,キッズウェル・バイオ(株),141,1,値上がり率
9831,(株)ヤマダホールディングス,141,1,出来高
4059,(株)まぐまぐ,142,1,出来高増加率
5019,出光興産(株),142,1,出来高
5817,ＪＭＡＣＳ(株),142,1,値上がり率
517A,iFreeETF 米ドル・べア(1倍),143,1,出来高増加率
5381,マイポックス(株),143,1,値上がり率
6301,コマツ,143,1,出来高
2138,クルーズ(株),144,1,値上がり率
5380,新東(株),144,1,出来高増加率
7751,キヤノン(株),144,1,出来高
3110,日東紡,145,1,出来高
4092,日本化学工業(株),145,1,値上がり率
5533,(株)エリッツホールディングス,145,1,出来高増加率
6264,(株)マルマエ,146,1,値上がり率
6647,森尾電機(株),146,1,出来高増加率
8593,三菱ＨＣキャピタル(株),146,1,出来高
3092,(株)ＺＯＺＯ,147,1,出来高
4179,(株)ジーネクスト,147,1,値上がり率
7621,(株)うかい,147,1,出来高増加率
1591,(NEXT FUNDS) JPX日経インデックス400,148,1,出来高増加率
6072,地盤ネットホールディングス(株),148,1,値上がり率
6490,(株)ＰＩＬＬＡＲ,149,1,値上がり率
7270,(株)ＳＵＢＡＲＵ,149,1,出来高
4452,花王(株),150,1,出来高
